timestamp,t_rel,client_id,ground_truth_class,text_len,max_new_tokens,status_code,latency_ms,model_ms,error
2026-09-08T19:20:45.655134+00:00,0.375,legit-000,legitimate,58,16,200,346.74,336.33,
2026-09-08T19:20:45.664289+00:00,0.384,legit-001,legitimate,38,16,200,355.25,345.9,
2026-09-08T19:20:46.035491+00:00,0.755,legit-003,legitimate,58,16,200,725.63,370.36,
2026-09-08T19:20:46.038497+00:00,0.758,legit-002,legitimate,38,16,200,729.04,383.48,
2026-09-08T19:20:46.982958+00:00,1.703,legit-001,legitimate,55,16,200,339.02,335.1,
2026-09-08T19:20:47.027172+00:00,1.747,legit-000,legitimate,38,16,200,351.28,348.14,
2026-09-08T19:20:47.739840+00:00,2.46,legit-002,legitimate,38,16,200,358.83,355.17,
2026-09-08T19:20:47.804878+00:00,2.525,legit-003,legitimate,41,16,200,378.99,375.49,
2026-09-08T19:20:48.187675+00:00,2.908,legit-000,legitimate,55,16,200,334.3,330.52,
2026-09-08T19:20:48.637682+00:00,3.358,legit-001,legitimate,58,16,200,381.49,377.68,
2026-09-08T19:20:49.090419+00:00,3.81,legit-002,legitimate,35,16,200,364.06,359.84,
2026-09-08T19:20:49.436822+00:00,4.157,legit-003,legitimate,41,16,200,349.36,343.9,
2026-09-08T19:20:49.492214+00:00,4.212,legit-000,legitimate,36,16,200,344.27,340.72,
2026-09-08T19:20:50.388858+00:00,5.109,legit-001,legitimate,41,16,200,389.67,385.34,
2026-09-08T19:20:50.596959+00:00,5.317,legit-002,legitimate,58,16,200,346.64,341.57,
2026-09-08T19:20:50.751985+00:00,5.472,legit-000,legitimate,35,16,200,454.22,362.73,
2026-09-08T19:20:51.223762+00:00,5.944,legit-003,legitimate,36,16,200,338.71,334.77,
2026-09-08T19:20:51.791524+00:00,6.511,legit-001,legitimate,35,16,200,328.22,324.51,
2026-09-08T19:20:51.888859+00:00,6.609,legit-002,legitimate,38,16,200,366.53,362.68,
2026-09-08T19:20:52.486005+00:00,7.206,legit-003,legitimate,36,16,200,379.69,376.0,
2026-09-08T19:20:52.703775+00:00,7.424,legit-000,legitimate,38,16,200,385.73,381.95,
2026-09-08T19:20:53.238478+00:00,7.958,legit-001,legitimate,35,16,200,358.71,354.91,
2026-09-08T19:20:53.301791+00:00,8.022,legit-002,legitimate,38,16,200,336.65,332.64,
2026-09-08T19:20:54.230710+00:00,8.951,legit-003,legitimate,55,16,200,359.56,355.65,
2026-09-08T19:20:54.311724+00:00,9.032,legit-000,legitimate,36,16,200,378.54,370.93,
2026-09-08T19:20:54.846851+00:00,9.567,legit-001,legitimate,38,16,200,365.02,361.17,
2026-09-08T19:20:55.135499+00:00,9.855,legit-002,legitimate,58,16,200,369.77,366.02,
2026-09-08T19:20:55.682930+00:00,10.403,atk-000,attack,38,16,200,362.35,358.89,
2026-09-08T19:20:55.731145+00:00,10.451,atk-001,attack,41,16,200,359.88,356.84,
2026-09-08T19:20:56.020440+00:00,10.74,atk-002,attack,38,16,200,598.45,336.65,
2026-09-08T19:20:56.116204+00:00,10.836,atk-003,attack,35,16,200,643.49,384.64,
2026-09-08T19:20:56.393877+00:00,11.114,legit-003,legitimate,36,16,200,899.1,370.48,
2026-09-08T19:20:56.447708+00:00,11.168,atk-004,attack,35,16,200,923.62,331.33,
2026-09-08T19:20:56.723515+00:00,11.443,atk-005,attack,58,16,200,1148.52,332.4,
2026-09-08T19:20:56.771289+00:00,11.491,atk-006,attack,36,16,200,1145.18,323.29,
2026-09-08T19:20:57.084733+00:00,11.805,legit-000,legitimate,41,16,200,1408.42,361.13,
2026-09-08T19:20:57.137178+00:00,11.857,atk-007,attack,36,16,200,1459.94,365.9,
2026-09-08T19:20:57.427400+00:00,12.147,atk-008,attack,36,16,200,1699.17,342.44,
2026-09-08T19:20:57.522046+00:00,12.242,atk-009,attack,41,16,200,1742.24,385.09,
2026-09-08T19:20:57.786713+00:00,12.507,legit-001,legitimate,58,16,200,1956.3,359.5,
2026-09-08T19:20:57.877693+00:00,12.598,atk-010,attack,36,16,200,2046.5,355.42,
2026-09-08T19:20:58.152472+00:00,12.872,atk-011,attack,58,16,200,2270.2,366.01,
2026-09-08T19:20:58.212755+00:00,12.933,atk-000,attack,58,16,200,2279.88,334.82,
2026-09-08T19:20:58.501066+00:00,13.221,atk-001,attack,58,16,200,2517.47,347.86,
2026-09-08T19:20:58.550004+00:00,13.27,atk-002,attack,38,16,200,2515.3,337.3,
2026-09-08T19:20:58.848399+00:00,13.568,atk-003,attack,55,16,200,2763.06,346.36,
2026-09-08T19:20:58.886724+00:00,13.607,atk-004,attack,58,16,200,2750.22,336.67,
2026-09-08T19:20:59.194589+00:00,13.915,legit-002,legitimate,41,16,200,3026.37,346.24,
2026-09-08T19:20:59.222330+00:00,13.942,atk-005,attack,55,16,200,3035.17,336.09,
2026-09-08T19:20:59.542794+00:00,14.263,atk-006,attack,58,16,200,3304.35,348.4,
2026-09-08T19:20:59.590476+00:00,14.31,atk-007,attack,41,16,200,3300.84,367.42,
2026-09-08T19:20:59.882143+00:00,14.602,atk-008,attack,41,16,200,3541.97,338.95,
2026-09-08T19:20:59.956519+00:00,14.676,atk-009,attack,35,16,200,3566.22,365.95,
2026-09-08T19:21:00.240245+00:00,14.96,atk-010,attack,58,16,200,3799.1,358.02,
2026-09-08T19:21:00.336540+00:00,15.056,atk-011,attack,58,16,200,3844.56,379.08,
2026-09-08T19:21:00.598806+00:00,15.319,atk-000,attack,55,16,200,4056.24,357.76,
2026-09-08T19:21:00.715961+00:00,15.436,atk-001,attack,41,16,200,4123.06,379.38,
2026-09-08T19:21:00.949557+00:00,15.67,atk-002,attack,58,16,200,4306.13,351.51,
2026-09-08T19:21:01.053779+00:00,15.774,atk-003,attack,36,16,200,4359.25,337.63,
2026-09-08T19:21:01.290296+00:00,16.01,atk-004,attack,38,16,200,4545.55,340.68,
2026-09-08T19:21:01.382710+00:00,16.103,atk-005,attack,41,16,200,4587.09,328.75,
2026-09-08T19:21:01.677708+00:00,16.398,atk-006,attack,38,16,200,4831.09,386.16,
2026-09-08T19:21:01.733835+00:00,16.454,atk-007,attack,36,16,200,4835.97,351.29,
2026-09-08T19:21:02.024166+00:00,16.744,atk-008,attack,35,16,200,5075.39,346.3,
2026-09-08T19:21:02.104636+00:00,16.825,atk-009,attack,36,16,200,5104.59,370.56,
2026-09-08T19:21:02.367361+00:00,17.087,atk-010,attack,38,16,200,5316.86,343.11,
2026-09-08T19:21:02.473271+00:00,17.193,atk-011,attack,55,16,200,5372.24,367.5,
2026-09-08T19:21:02.696041+00:00,17.416,atk-000,attack,58,16,200,5544.53,325.29,
2026-09-08T19:21:02.841673+00:00,17.562,atk-001,attack,36,16,200,5639.43,368.59,
2026-09-08T19:21:03.058581+00:00,17.779,atk-002,attack,41,16,200,5805.8,366.13,
2026-09-08T19:21:03.237344+00:00,17.957,atk-003,attack,58,16,200,5934.14,395.48,
2026-09-08T19:21:03.438684+00:00,18.159,atk-004,attack,35,16,200,6084.69,380.02,
2026-09-08T19:21:03.586216+00:00,18.306,atk-005,attack,35,16,200,6181.85,348.74,
2026-09-08T19:21:03.782888+00:00,18.503,atk-006,attack,58,16,200,6328.22,343.9,
2026-09-08T19:21:03.915971+00:00,18.636,legit-003,legitimate,35,16,200,6417.44,329.87,
2026-09-08T19:21:04.132608+00:00,18.853,atk-007,attack,41,16,200,6626.8,350.26,
2026-09-08T19:21:04.267501+00:00,18.987,atk-008,attack,36,16,200,6711.13,351.88,
2026-09-08T19:21:04.474414+00:00,19.194,atk-009,attack,41,16,200,6867.33,341.77,
2026-09-08T19:21:04.625284+00:00,19.345,atk-010,attack,41,16,200,6967.56,357.98,
2026-09-08T19:21:04.836093+00:00,19.556,atk-011,attack,58,16,200,7127.69,361.52,
2026-09-08T19:21:05.016583+00:00,19.737,atk-000,attack,55,16,200,7257.82,390.31,
2026-09-08T19:21:05.169478+00:00,19.889,atk-001,attack,58,16,200,7360.37,333.47,
2026-09-08T19:21:05.364037+00:00,20.084,atk-002,attack,55,16,200,7504.05,347.34,
2026-09-08T19:21:05.533104+00:00,20.253,atk-003,attack,35,16,200,7622.08,363.12,
2026-09-08T19:21:05.740272+00:00,20.46,atk-004,attack,55,16,200,7778.43,376.03,
2026-09-08T19:21:05.862550+00:00,20.583,atk-005,attack,35,16,200,7849.88,329.38,
2026-09-08T19:21:06.068249+00:00,20.788,legit-000,legitimate,36,16,200,8013.98,327.71,
2026-09-08T19:21:06.228636+00:00,20.949,atk-006,attack,41,16,200,8164.75,365.81,
2026-09-08T19:21:06.409121+00:00,21.129,atk-007,attack,41,16,200,8294.28,340.92,
2026-09-08T19:21:06.610665+00:00,21.331,atk-008,attack,55,16,200,8443.9,382.06,
2026-09-08T19:21:06.799862+00:00,21.52,atk-009,attack,35,16,200,8582.82,390.59,
2026-09-08T19:21:06.967024+00:00,21.687,atk-010,attack,38,16,200,8699.08,356.33,
2026-09-08T19:21:07.148700+00:00,21.869,atk-011,attack,38,16,200,8830.48,348.65,
2026-09-08T19:21:07.334725+00:00,22.055,atk-000,attack,38,16,200,8965.84,367.53,
2026-09-08T19:21:07.483123+00:00,22.203,atk-001,attack,41,16,200,9063.12,334.39,
2026-09-08T19:21:07.718637+00:00,22.439,atk-002,attack,58,16,200,9248.15,383.9,
2026-09-08T19:21:07.832869+00:00,22.553,atk-003,attack,41,16,200,9311.5,349.53,
2026-09-08T19:21:08.053558+00:00,22.774,atk-004,attack,58,16,200,9481.32,334.65,
2026-09-08T19:21:08.219029+00:00,22.939,atk-005,attack,35,16,200,9596.07,386.22,
2026-09-08T19:21:08.424422+00:00,23.144,atk-006,attack,55,16,200,9750.61,370.25,
2026-09-08T19:21:08.563499+00:00,23.283,atk-007,attack,38,16,200,9838.4,343.21,
2026-09-08T19:21:08.768055+00:00,23.488,atk-008,attack,35,16,200,9991.75,343.26,
2026-09-08T19:21:08.885246+00:00,23.605,atk-009,attack,35,16,200,10058.23,322.03,
2026-09-08T19:21:09.139318+00:00,23.859,atk-010,attack,55,16,200,10261.6,370.9,
2026-09-08T19:21:09.213273+00:00,23.933,atk-011,attack,35,16,200,10285.3,327.6,
2026-09-08T19:21:09.532987+00:00,24.253,atk-000,attack,55,16,200,10554.19,393.84,
2026-09-08T19:21:09.538743+00:00,24.259,legit-001,legitimate,36,16,200,10519.68,326.21,
2026-09-08T19:21:09.886889+00:00,24.607,atk-002,attack,38,16,200,10807.11,346.66,
2026-09-08T19:21:09.923056+00:00,24.643,atk-001,attack,55,16,200,10893.7,390.42,
2026-09-08T19:21:10.246965+00:00,24.967,atk-003,attack,58,16,200,11115.95,359.91,
2026-09-08T19:21:10.259444+00:00,24.979,atk-004,attack,58,16,200,11077.86,335.64,
2026-09-08T19:21:10.591110+00:00,25.311,atk-006,attack,36,16,200,11307.89,330.49,
2026-09-08T19:21:10.620260+00:00,25.34,atk-005,attack,55,16,200,11387.57,373.56,
2026-09-08T19:21:10.939096+00:00,25.659,atk-007,attack,58,16,200,11605.18,347.18,
2026-09-08T19:21:10.953313+00:00,25.673,atk-008,attack,36,16,200,11568.96,332.4,
2026-09-08T19:21:11.284698+00:00,26.005,atk-009,attack,38,16,200,11849.64,345.8,
2026-09-08T19:21:11.318686+00:00,26.039,atk-010,attack,36,16,200,11833.15,364.54,
2026-09-08T19:21:11.635198+00:00,26.355,atk-011,attack,35,16,200,12099.13,350.78,
2026-09-08T19:21:11.688841+00:00,26.409,atk-000,attack,41,16,200,12101.78,368.94,
2026-09-08T19:21:11.983306+00:00,26.703,atk-001,attack,35,16,200,12345.51,348.17,
2026-09-08T19:21:12.017073+00:00,26.737,atk-002,attack,38,16,200,12328.28,328.9,
2026-09-08T19:21:12.350063+00:00,27.07,atk-003,attack,58,16,200,12610.75,367.23,
2026-09-08T19:21:12.380373+00:00,27.1,atk-004,attack,58,16,200,12590.54,362.94,
2026-09-08T19:21:12.694307+00:00,27.414,atk-005,attack,36,16,200,12853.25,344.16,
2026-09-08T19:21:12.772159+00:00,27.492,atk-006,attack,55,16,200,12879.73,390.85,
2026-09-08T19:21:13.073509+00:00,27.793,atk-007,attack,41,16,200,13130.61,378.93,
2026-09-08T19:21:13.137318+00:00,27.857,atk-008,attack,55,16,200,13143.5,365.0,
2026-09-08T19:21:13.435295+00:00,28.155,atk-009,attack,38,16,200,13390.71,361.63,
2026-09-08T19:21:13.524769+00:00,28.245,legit-002,legitimate,58,16,200,13438.12,387.47,
2026-09-08T19:21:13.780744+00:00,28.501,atk-010,attack,36,16,200,13685.8,344.48,
2026-09-08T19:21:13.883604+00:00,28.604,atk-011,attack,58,16,200,13737.76,357.97,
2026-09-08T19:21:14.119499+00:00,28.839,atk-000,attack,55,16,200,13923.17,339.91,
2026-09-08T19:21:14.255555+00:00,28.976,atk-001,attack,55,16,200,14007.99,372.75,
2026-09-08T19:21:14.470154+00:00,29.19,atk-002,attack,41,16,200,14171.95,350.31,
2026-09-08T19:21:14.637463+00:00,29.357,atk-003,attack,41,16,200,14288.6,381.73,
2026-09-08T19:21:14.825266+00:00,29.545,atk-004,attack,36,16,200,14425.72,355.22,
2026-09-08T19:21:14.982781+00:00,29.703,atk-005,attack,41,16,200,14532.82,345.25,
2026-09-08T19:21:15.214342+00:00,29.934,atk-006,attack,55,16,200,14713.38,389.1,
2026-09-08T19:21:15.321729+00:00,30.042,atk-007,attack,55,16,200,14770.17,338.94,
2026-09-08T19:21:15.547977+00:00,30.268,atk-008,attack,38,16,200,14945.86,333.39,
2026-09-08T19:21:15.716695+00:00,30.437,atk-009,attack,55,16,200,15063.56,394.79,
2026-09-08T19:21:15.934447+00:00,30.654,atk-010,attack,36,16,200,15230.86,386.73,
2026-09-08T19:21:16.068364+00:00,30.788,atk-011,attack,35,16,200,15314.08,351.75,
2026-09-08T19:21:16.314755+00:00,31.035,atk-000,attack,38,16,200,15509.41,380.1,
2026-09-08T19:21:16.404731+00:00,31.125,atk-001,attack,38,16,200,15548.49,336.31,
2026-09-08T19:21:16.681997+00:00,31.402,atk-002,attack,36,16,200,15775.08,367.12,
2026-09-08T19:21:16.760144+00:00,31.48,atk-003,attack,36,16,200,15802.37,355.38,
2026-09-08T19:21:17.037099+00:00,31.757,atk-004,attack,41,16,200,16028.56,355.03,
2026-09-08T19:21:17.084828+00:00,31.805,atk-005,attack,38,16,200,16025.76,324.46,
2026-09-08T19:21:17.421938+00:00,32.142,atk-006,attack,41,16,200,16312.2,384.84,
2026-09-08T19:21:17.444166+00:00,32.164,atk-007,attack,55,16,200,16283.33,358.93,
2026-09-08T19:21:17.788103+00:00,32.508,atk-009,attack,38,16,200,16525.62,343.36,
2026-09-08T19:21:17.811858+00:00,32.532,atk-008,attack,38,16,200,16599.77,390.18,
2026-09-08T19:21:18.116737+00:00,32.837,atk-010,attack,58,16,200,16803.11,328.63,
2026-09-08T19:21:18.134632+00:00,32.855,atk-011,attack,35,16,200,16770.07,322.05,
2026-09-08T19:21:18.459185+00:00,33.179,atk-001,attack,55,16,200,16993.22,323.53,
2026-09-08T19:21:18.474784+00:00,33.195,atk-000,attack,38,16,200,17059.71,358.67,
2026-09-08T19:21:18.785769+00:00,33.506,atk-002,attack,41,16,200,17269.12,326.4,
2026-09-08T19:21:18.856068+00:00,33.576,atk-003,attack,41,16,200,17289.03,380.08,
2026-09-08T19:21:19.133423+00:00,33.853,atk-004,attack,58,16,200,17515.51,347.79,
2026-09-08T19:21:19.237185+00:00,33.957,atk-005,attack,35,16,200,17568.43,381.08,
2026-09-08T19:21:19.509515+00:00,34.229,atk-006,attack,55,16,200,17790.44,374.74,
2026-09-08T19:21:19.617813+00:00,34.338,atk-007,attack,41,16,200,17846.52,379.84,
2026-09-08T19:21:19.884913+00:00,34.605,atk-008,attack,36,16,200,18063.19,376.27,
2026-09-08T19:21:19.952208+00:00,34.672,atk-009,attack,55,16,200,18079.69,335.23,
2026-09-08T19:21:20.235831+00:00,34.956,atk-010,attack,55,16,200,18312.35,351.15,
2026-09-08T19:21:20.297196+00:00,35.017,atk-011,attack,35,16,200,18323.41,344.96,
