timestamp,t_rel,client_id,ground_truth_class,text_len,max_new_tokens,status_code,latency_ms,model_ms,error
2026-09-08T19:21:34.781699+00:00,0.451,legit-000,legitimate,58,16,200,427.09,366.26,
2026-09-08T19:21:34.807921+00:00,0.477,legit-001,legitimate,38,16,200,452.76,391.08,
2026-09-08T19:21:35.159709+00:00,0.829,legit-002,legitimate,38,16,200,804.19,378.02,
2026-09-08T19:21:35.194027+00:00,0.863,legit-003,legitimate,58,16,200,838.14,385.59,
2026-09-08T19:21:36.132651+00:00,1.802,legit-000,legitimate,38,16,200,329.41,322.77,
2026-09-08T19:21:36.164025+00:00,1.833,legit-001,legitimate,55,16,200,376.48,369.86,
2026-09-08T19:21:36.895981+00:00,2.565,legit-003,legitimate,38,16,200,359.64,352.48,
2026-09-08T19:21:36.920579+00:00,2.59,legit-002,legitimate,41,16,200,371.49,365.87,
2026-09-08T19:21:37.376718+00:00,3.046,legit-001,legitimate,55,16,200,386.51,379.66,
2026-09-08T19:21:37.796691+00:00,3.466,legit-000,legitimate,58,16,200,390.53,383.69,
2026-09-08T19:21:38.227308+00:00,3.896,legit-003,legitimate,35,16,200,345.12,338.23,
2026-09-08T19:21:38.583195+00:00,4.252,legit-002,legitimate,41,16,200,379.61,372.88,
2026-09-08T19:21:38.684924+00:00,4.354,legit-001,legitimate,36,16,200,348.88,342.25,
2026-09-08T19:21:39.495209+00:00,5.164,legit-000,legitimate,41,16,200,335.25,327.55,
2026-09-08T19:21:39.721187+00:00,5.39,legit-003,legitimate,58,16,200,333.34,326.5,
2026-09-08T19:21:39.840777+00:00,5.51,legit-001,legitimate,35,16,200,349.52,340.16,
2026-09-08T19:21:40.399376+00:00,6.068,legit-002,legitimate,36,16,200,367.89,360.68,
2026-09-08T19:21:40.915537+00:00,6.585,legit-000,legitimate,35,16,200,347.77,341.11,
2026-09-08T19:21:41.036092+00:00,6.705,legit-003,legitimate,38,16,200,389.44,381.26,
2026-09-08T19:21:41.627034+00:00,7.296,legit-002,legitimate,36,16,200,345.31,338.35,
2026-09-08T19:21:41.791143+00:00,7.46,legit-001,legitimate,38,16,200,384.18,376.94,
2026-09-08T19:21:42.351577+00:00,8.021,legit-000,legitimate,35,16,200,348.09,341.19,
2026-09-08T19:21:42.460812+00:00,8.13,legit-003,legitimate,38,16,200,349.1,341.57,
2026-09-08T19:21:43.401868+00:00,9.071,legit-002,legitimate,55,16,200,390.33,383.49,
2026-09-08T19:21:43.410129+00:00,9.079,legit-001,legitimate,36,16,200,388.99,382.29,
2026-09-08T19:21:43.969489+00:00,9.639,legit-000,legitimate,38,16,200,374.41,367.19,
2026-09-08T19:21:44.289058+00:00,9.958,legit-003,legitimate,58,16,200,363.55,356.62,
2026-09-08T19:21:44.695627+00:00,10.365,atk-000,attack,38,16,200,354.07,347.73,
2026-09-08T19:21:44.732776+00:00,10.402,atk-001,attack,41,16,200,340.63,332.45,
2026-09-08T19:21:44.904543+00:00,10.574,atk-011,attack,36,16,503,4.28,,
2026-09-08T19:21:44.955742+00:00,10.625,atk-000,attack,58,16,503,4.86,,
2026-09-08T19:21:45.004600+00:00,10.674,atk-001,attack,58,16,503,2.88,,
2026-09-08T19:21:45.026285+00:00,10.695,atk-002,attack,38,16,200,583.18,328.05,
2026-09-08T19:21:45.056062+00:00,10.725,atk-002,attack,38,16,503,2.54,,
2026-09-08T19:21:45.069060+00:00,10.738,atk-003,attack,35,16,200,574.88,337.12,
2026-09-08T19:21:45.157672+00:00,10.827,atk-004,attack,58,16,503,2.81,,
2026-09-08T19:21:45.208895+00:00,10.878,atk-005,attack,41,16,503,2.91,,
2026-09-08T19:21:45.260434+00:00,10.929,atk-006,attack,55,16,503,3.22,,
2026-09-08T19:21:45.310546+00:00,10.98,atk-007,attack,58,16,503,2.79,,
2026-09-08T19:21:45.360964+00:00,11.03,atk-008,attack,41,16,503,2.76,,
2026-09-08T19:21:45.412013+00:00,11.081,atk-009,attack,35,16,503,2.8,,
2026-09-08T19:21:45.417827+00:00,11.087,atk-004,attack,36,16,200,872.46,388.67,
2026-09-08T19:21:45.418337+00:00,11.087,atk-005,attack,35,16,200,822.0,347.0,
2026-09-08T19:21:45.512415+00:00,11.181,atk-011,attack,36,16,503,2.62,,
2026-09-08T19:21:45.563545+00:00,11.233,atk-000,attack,58,16,503,2.81,,
2026-09-08T19:21:45.614975+00:00,11.284,atk-001,attack,58,16,503,3.08,,
2026-09-08T19:21:45.665686+00:00,11.335,atk-002,attack,55,16,503,3.03,,
2026-09-08T19:21:45.715990+00:00,11.385,atk-003,attack,41,16,503,3.02,,
2026-09-08T19:21:45.766488+00:00,11.436,atk-004,attack,58,16,503,3.11,,
2026-09-08T19:21:45.773566+00:00,11.443,atk-006,attack,58,16,200,1126.93,357.26,
2026-09-08T19:21:45.785507+00:00,11.455,legit-002,legitimate,36,16,200,1121.03,369.72,
2026-09-08T19:21:45.867258+00:00,11.536,atk-006,attack,41,16,503,3.05,,
2026-09-08T19:21:45.917438+00:00,11.586,atk-007,attack,38,16,503,2.86,,
2026-09-08T19:21:45.968590+00:00,11.638,atk-008,attack,36,16,503,2.82,,
2026-09-08T19:21:46.019337+00:00,11.688,atk-009,attack,35,16,503,2.65,,
2026-09-08T19:21:46.070827+00:00,11.74,atk-010,attack,36,16,429,3.14,,
2026-09-08T19:21:46.104830+00:00,11.774,atk-007,attack,41,16,200,1407.71,331.08,
2026-09-08T19:21:46.168160+00:00,11.837,atk-008,attack,36,16,200,1420.05,382.34,
2026-09-08T19:21:46.223113+00:00,11.892,atk-001,attack,55,16,503,2.77,,
2026-09-08T19:21:46.274127+00:00,11.943,atk-002,attack,58,16,503,2.79,,
2026-09-08T19:21:46.325985+00:00,11.995,atk-003,attack,36,16,503,3.52,,
2026-09-08T19:21:46.376213+00:00,12.045,atk-004,attack,41,16,503,2.92,,
2026-09-08T19:21:46.427569+00:00,12.097,atk-005,attack,58,16,503,3.0,,
2026-09-08T19:21:46.454785+00:00,12.124,legit-001,legitimate,36,16,200,1680.11,349.92,
2026-09-08T19:21:46.528790+00:00,12.198,atk-007,attack,35,16,503,2.88,,
2026-09-08T19:21:46.549833+00:00,12.219,atk-009,attack,41,16,200,1751.03,381.49,
2026-09-08T19:21:46.631123+00:00,12.3,atk-009,attack,36,16,503,3.54,,
2026-09-08T19:21:46.681933+00:00,12.351,atk-010,attack,41,16,429,3.49,,
2026-09-08T19:21:46.732806+00:00,12.402,atk-011,attack,41,16,503,3.52,,
